target,target_role,model_name,predictors,n_folds,mean_heldout_rmse,std_heldout_rmse,mean_heldout_r2,std_heldout_r2
Delta_sam_T,same_time_sampling_gap,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_null_excess,4,6861.999690982534,7035.38350329922,-11.312776234328451,19.72620697231931
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:null,A_rate_null_excess,4,6353.756213497676,4614.0626337004605,-282.23909932877956,263.8139056656379
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:coarse,A_rate_coarse_excess,4,9503.263153264665,6109.818720296318,-1355.9835839585812,2393.4450888422666
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_qty,A_rate_task_no_qty_excess,4,8669.77332975855,5105.666937444704,-1012.4111581644287,1731.8578325149683
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_cost,A_rate_task_no_cost_excess,4,5001.199732197652,2980.190895982424,-176.18348994626993,223.89518332042647
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task_no_group,A_rate_task_no_group_excess,4,6000.872813728759,3144.183424579391,-322.17693447622963,473.43207765023107
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,single_channel:task,A_rate_task_excess,4,6239.020531110924,3249.856329803505,-367.59492399776065,553.5515451893381
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:null,mu + A_rate_null_excess,4,3865.323109925199,2688.7361742076964,-94.01195825563866,109.20046916649622
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:coarse,mu + A_rate_coarse_excess,4,4603.260698275875,3337.750825218423,-316.99870113850244,563.2292968650444
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,4,3709.532321393117,2105.6979341821707,-115.20623240108456,153.99029291793175
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,4,2154.8172975992106,3076.251669411572,-19.81395220402818,33.71926733810892
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,4,3159.5556795812495,2037.2401760410353,-64.97449312962966,69.53133083811689
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,mu_controlled:task,mu + A_rate_task_excess,4,3272.2711864505636,2119.862177567739,-61.098008042977625,49.65675467965499
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,null_controlled:coarse,mu + A_rate_coarse_excess + A_rate_null_excess,4,4603.260698275875,3337.750825218423,-316.99870113850244,563.2292968650444
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,null_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_null_excess,4,3709.532321393117,2105.6979341821707,-115.20623240108456,153.99029291793175
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,null_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_null_excess,4,2154.8172975992106,3076.251669411572,-19.81395220402818,33.71926733810892
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,null_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_null_excess,4,3159.5556795812495,2037.2401760410353,-64.97449312962966,69.53133083811689
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,null_controlled:task,mu + A_rate_task_excess + A_rate_null_excess,4,3272.2711864505636,2119.862177567739,-61.098008042977625,49.65675467965499
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,combined:task_coarse_null,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_null_excess,4,4682.715872085856,3403.812318237287,-333.29017338299474,594.2175536398198
Eval_within_step_drift_T,diagnostic_only_heldout_step_shift,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_null_excess,4,3391.633591024397,2472.2601152540515,-62.81028131022045,53.402557589594686
