mu,seed,target,excluded_initial_rounds,included_all_rounds,excluding_initial_rounds,excluded_minus_included,excluded_over_included
0.1,7,Mean_abs_delta_y_T,3,121.75753961713544,111.88187016868292,-9.875669448452513,0.918890694740495
0.1,8,Mean_abs_delta_y_T,3,118.5264102597271,110.93952242288648,-7.586887836840617,0.9359898960896946
0.1,9,Mean_abs_delta_y_T,3,120.22998623022274,113.7964443440219,-6.433541886200842,0.9464897062045606
0.2,0,Mean_abs_delta_y_T,3,193.94771452084467,170.55002405059417,-23.397690470250495,0.8793608342946686
0.2,1,Mean_abs_delta_y_T,3,197.31245017669502,181.66002732113026,-15.652422855564765,0.9206718945431579
0.2,2,Mean_abs_delta_y_T,3,201.45491438620613,187.74130983314063,-13.713604553065494,0.9319271778757635
0.2,3,Mean_abs_delta_y_T,3,188.32377374760497,168.99501959280084,-19.32875415480413,0.897364237291098
0.2,4,Mean_abs_delta_y_T,3,198.25981887453648,184.99808625069824,-13.261732623838242,0.9331093274516176
0.2,5,Mean_abs_delta_y_T,3,204.3540564397983,191.8546324054439,-12.499424034354405,0.9388344706627506
0.2,6,Mean_abs_delta_y_T,3,201.84362735711534,180.92490446566035,-20.91872289145499,0.8963617372252026
0.2,7,Mean_abs_delta_y_T,3,216.31549697706996,196.25987302558252,-20.055623951487433,0.9072853113542143
0.2,8,Mean_abs_delta_y_T,3,208.8324694995714,193.12147081373814,-15.71099868583326,0.9247674524776641
0.2,9,Mean_abs_delta_y_T,3,213.30347597707495,199.14563187108624,-14.157844105988715,0.9336258162641927
0.0,0,Mean_abs_delta_pred_T,3,25.07534822291339,25.07270507580349,-0.0026431471099002124,0.9998945918084007
0.0,1,Mean_abs_delta_pred_T,3,24.919008326682036,24.943603403136063,0.02459507645402681,1.0009870006114043
0.0,2,Mean_abs_delta_pred_T,3,24.997110367079255,24.968766772707596,-0.02834359437165901,0.9988661251658517
0.0,3,Mean_abs_delta_pred_T,3,25.15885271089565,25.159389455773983,0.0005367448783317741,1.00002133423509
0.0,4,Mean_abs_delta_pred_T,3,24.977855867710264,24.97381480232544,-0.004041065384825515,0.9998382140802546
0.0,5,Mean_abs_delta_pred_T,3,25.04166728635987,25.069629866694008,0.02796258033413679,1.001116642115494
0.0,6,Mean_abs_delta_pred_T,3,24.97896549214885,24.980969952126586,0.0020044599777371275,1.000080245916444
0.0,7,Mean_abs_delta_pred_T,3,25.04616123067665,25.026555244004896,-0.019605986671752618,0.999217205922649
0.0,8,Mean_abs_delta_pred_T,3,24.963184974878533,24.947694382026306,-0.015490592852227536,0.9993794624817379
0.0,9,Mean_abs_delta_pred_T,3,25.03863093202443,25.01173533357186,-0.026895598452568947,0.9989258359003099
0.05,0,Mean_abs_delta_pred_T,3,56.275591396095884,54.17747482457055,-2.098116571525331,0.9627171119934088
0.05,1,Mean_abs_delta_pred_T,3,54.78494794988655,53.11807551267582,-1.6668724372107278,0.9695742626471879
0.05,2,Mean_abs_delta_pred_T,3,55.935102616485196,55.39702369426682,-0.538078922218375,0.9903802997214884
0.05,3,Mean_abs_delta_pred_T,3,55.18188797793673,54.362392807659845,-0.8194951702768876,0.9851492002121321
0.05,4,Mean_abs_delta_pred_T,3,55.37696149544087,55.40134317996848,0.02438168452761147,1.0004402857049066
0.05,5,Mean_abs_delta_pred_T,3,55.180748460788,55.125645307905984,-0.055103152882018946,0.9990014062074353
0.05,6,Mean_abs_delta_pred_T,3,55.94409814576364,54.62462149584232,-1.3194766499213202,0.9764143726746047
0.05,7,Mean_abs_delta_pred_T,3,60.18082637122045,58.38566826203782,-1.7951581091826299,0.9701705972246153
0.05,8,Mean_abs_delta_pred_T,3,56.31734198449488,55.33263007589604,-0.9847119085988396,0.9825149434632418
0.05,9,Mean_abs_delta_pred_T,3,58.76123756261543,58.62195292415302,-0.13928463846240646,0.9976296510379996
0.1,0,Mean_abs_delta_pred_T,3,95.15760907216152,89.30925847408857,-5.848350598072955,0.9385403789029847
0.1,1,Mean_abs_delta_pred_T,3,91.81558153026565,87.00015226073697,-4.8154292695286784,0.9475532454375258
0.1,2,Mean_abs_delta_pred_T,3,95.18765685194158,92.95487893537071,-2.2327779165708677,0.9765434091938642
0.1,3,Mean_abs_delta_pred_T,3,92.5990207202745,89.33641695424805,-3.2626037660264444,0.9647663253817532
0.1,4,Mean_abs_delta_pred_T,3,93.7267733679505,92.39790923586418,-1.3288641320863235,0.9858219366320283
0.1,5,Mean_abs_delta_pred_T,3,93.27847007394193,91.81974990218015,-1.458720171761783,0.9843616627652078
0.1,6,Mean_abs_delta_pred_T,3,95.0353202287228,90.95184846148238,-4.083471767240411,0.9570320617912091
0.1,7,Mean_abs_delta_pred_T,3,103.22215641410523,98.27308711095529,-4.94906930314994,0.9520541957746423
0.1,8,Mean_abs_delta_pred_T,3,95.25647854325935,91.79167513944262,-3.464803403816731,0.9636265852275524
0.1,9,Mean_abs_delta_pred_T,3,100.35986045561816,98.67526055147736,-1.6845999041407964,0.9832144056748089
0.2,0,Mean_abs_delta_pred_T,3,171.23869040534655,158.21270271090913,-13.025987694437418,0.9239308145629762
0.2,1,Mean_abs_delta_pred_T,3,165.6645337032516,156.3946776651496,-9.269856038102006,0.9440444141489769
0.2,2,Mean_abs_delta_pred_T,3,173.65934742796838,167.6554207802252,-6.003926647743185,0.9654269883155381
0.2,3,Mean_abs_delta_pred_T,3,167.0930116061613,159.23371247533998,-7.859299130821313,0.952964525234929
0.2,4,Mean_abs_delta_pred_T,3,170.04576800415848,165.73891224238898,-4.306855761769498,0.9746723731362478
0.2,5,Mean_abs_delta_pred_T,3,171.89382544377133,167.56050958662448,-4.333315857146857,0.9747907416339143
