round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
5,0.0,4,1317.724568867241,1054.2481957057025,0.0028757865214261483,blind,Weak blind,-0.8817226405598064
6,0.0,4,2742.063157499011,1426.4901137556299,0.002348292512359649,blind,Weak blind,-0.9714295748459081
7,0.0,4,3006.427244727849,1838.9772149326745,0.0027421695963585433,blind,Weak blind,-0.9044458649197623
8,0.0,4,908.5939390853746,1396.6498942211038,0.00343187403051744,blind,Weak blind,-0.7871530250230249
9,0.0,4,481.7381867330405,755.618732308445,0.0011193804327024697,blind,Weak blind,-1.1804213989773273
10,0.0,4,470.28883873618906,1560.6352317546261,0.002294010200754013,blind,Weak blind,-0.9806609588548412
11,0.0,4,1205.6588081643567,522.5349775264622,0.002124319684116878,blind,Weak blind,-1.0095189473121529
12,0.0,4,927.5732851809007,1083.9343558237306,0.0025527796420871844,blind,Weak blind,-0.9366539884060079
13,0.0,4,53.0028564381646,1093.9805821034242,0.004189005614829961,blind,Weak blind,-0.6583933574012965
14,0.0,4,2638.052332190331,1340.660351304512,0.005507459703761147,blind,Weak blind,-0.4341737979710368
15,0.0,4,621.2318395326729,1436.1901273535914,0.0030452492687325253,blind,Weak blind,-0.8529033871175574
16,0.0,4,1948.1400377349928,1528.1505012239213,0.003004103659872288,blind,Weak blind,-0.8599007110051197
17,0.0,4,333.852395750524,1293.8180759685347,0.004158599296779035,blind,Weak blind,-0.6635643309638282
18,0.0,4,2070.2731831856654,1449.3616810366511,0.002181990918059258,blind,Weak blind,-0.9997112347987483
0,0.0,5,3674.571743953391,943.570787779754,0.0032444518743445184,blind,Weak blind,-0.819026499903465
1,0.0,5,3.8410788768087514,1218.8611796007608,0.00328249228441124,blind,Weak blind,-0.8125572537937115
2,0.0,5,1043.4108982751495,1008.1968078395003,0.0025525702771482793,blind,Weak blind,-0.9366895935247266
3,0.0,5,1815.3726388625219,1583.8233798453002,0.003431760209456059,blind,Weak blind,-0.7871723817139031
4,0.0,5,2648.0815174884046,1717.7052644448704,0.0020644159628471722,blind,Weak blind,-1.0197063221355076
5,0.0,5,117.84286383353174,662.3430517651723,0.003877899212184245,blind,Weak blind,-0.711300880782489
6,0.0,5,1880.4751431713812,1467.540914266021,0.0034323053480898925,blind,Weak blind,-0.7870796740911405
7,0.0,5,1555.7505705873482,1055.0399427983211,0.003044954267463554,blind,Weak blind,-0.8529535557621205
8,0.0,5,2798.9019436822273,1095.0024476753315,0.0032060393285676583,blind,Weak blind,-0.8255590323313968
9,0.0,5,671.7323634499335,2010.5815875952248,0.003004356627299793,blind,Weak blind,-0.8598576907394755
10,0.0,5,1149.1068429651787,1745.5612313618767,0.00250302969529417,blind,Weak blind,-0.9451145872582982
11,0.0,5,3447.277939736203,2041.131247577141,0.0033584259218387424,blind,Weak blind,-0.7996437918287721
12,0.0,5,4083.4490601622965,1545.243452291179,0.0017343560369254794,blind,Weak blind,-1.0758371285071875
13,0.0,5,1984.7111170318094,2043.3948245598585,0.0032824009378265616,blind,Weak blind,-0.8125727884195615
14,0.0,5,2037.1869265633868,1923.6314849222545,0.0022942421294165037,blind,Weak blind,-0.9806215164935489
15,0.0,5,1515.7869073215988,1387.1327127061086,0.002741807169002877,blind,Weak blind,-0.9045075002111959
16,0.0,5,271.23768108460354,472.33983161492506,0.003243943421859716,blind,Weak blind,-0.8191129685890951
17,0.0,5,1362.3259229465039,1360.0293033260386,0.00260154746063374,blind,Weak blind,-0.9283604127095285
18,0.0,5,262.93096710031386,1613.3114145608852,0.003003744423136846,blind,Weak blind,-0.8599618036917959
0,0.0,6,1974.808055938047,1292.9528795045917,0.002123973888530958,blind,Weak blind,-1.0095777541637367
1,0.0,6,3827.6643667535973,1865.7109191048658,0.0011194023893821082,blind,Weak blind,-1.180417664970147
2,0.0,6,698.8080458754557,1674.0293329614797,0.0014158176446755265,blind,Weak blind,-1.130008554400225
3,0.0,6,851.2288658948964,1095.4478668218362,0.0038783766103015357,blind,Weak blind,-0.7112196932793134
4,0.0,6,1254.2897065236466,1332.5462323529064,0.0024009922846808525,blind,Weak blind,-0.9624673213771398
5,0.0,6,1139.8007917373907,1445.2992454146734,0.002696444628529589,blind,Weak blind,-0.9122219659062457
6,0.0,6,1913.1849808988045,2501.469308719563,0.0027876313817389504,blind,Weak blind,-0.8967145213906362
7,0.0,6,1034.1345237662317,1949.6532598707709,0.0015019580918022757,blind,Weak blind,-1.1153592971632569
8,0.0,6,1218.345196538081,1363.849354605889,0.0020025498539993285,blind,Weak blind,-1.0302274254382195
9,0.0,6,2414.235451845103,2002.5445369867375,0.003395996783068135,blind,Weak blind,-0.793254398354253
10,0.0,6,1100.3674441922922,1915.3011128591024,0.0019388363446851775,blind,Weak blind,-1.0410627022279906
11,0.0,6,173.0437277641613,778.180644719454,0.0033203878587615013,blind,Weak blind,-0.8061126388036967
12,0.0,6,625.6344329299172,1345.7139089147095,0.0023482868233090383,blind,Weak blind,-0.971430542339909
13,0.0,6,1683.6615717188688,1110.6442251045955,0.0038776886367308107,blind,Weak blind,-0.7113366917642987
14,0.0,6,2440.3092604682897,1324.5972422448685,0.0037127442834983607,blind,Weak blind,-0.7393875359482402
15,0.0,6,463.4340488402522,595.2582445649896,0.0036442607411992347,blind,Weak blind,-0.7510340163311723
16,0.0,6,1046.8976857521338,1366.4277899109293,0.0030040937747735164,blind,Weak blind,-0.8599023920894366
17,0.0,6,1344.7107084100135,1113.7054518095101,0.003942274019046825,blind,Weak blind,-0.7003531420979839
18,0.0,6,1299.4166920465068,1770.7984796446399,0.003205170365539891,blind,Weak blind,-0.8257068103305573
0,0.0,7,2318.5162294581532,2042.0599949836615,0.0012263313879999072,blind,Weak blind,-1.1622330553112414
1,0.0,7,693.781778427714,1876.584366106952,0.003745864453360824,blind,Weak blind,-0.733755038042426
2,0.0,7,1447.7715058535687,1965.18738963356,0.0018050804000158747,blind,Weak blind,-1.0638095686048405
3,0.0,7,599.658198461635,1762.0944931239355,0.002123859554681313,blind,Weak blind,-1.009597198060654
4,0.0,7,4134.162311530323,2229.93190559512,0.002347928353933378,blind,Weak blind,-0.971491504527485
