round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
15,0.0,5,321001.69603166805,339519.67570525367,1831.0489206266357,0.0,0.007755103840909576,0.01291706249110498,0.028136657388045123,0.02081092130205461,0.036046124994837316
16,0.0,5,335909.0400248004,340603.22066948906,1097.2456259898609,0.0,0.0059124434422555255,0.01283337808190598,0.023988336311283064,0.022271496467547107,0.036668560792118485
17,0.0,5,337764.6649677931,342476.13643453247,1728.7122366327094,0.0,0.009550382242435663,0.013998916265922043,0.025585036679818315,0.02264880106737851,0.03872316740278554
18,0.0,5,332794.34584808105,344261.0311992881,1917.244565095054,0.0,0.012134277054011652,0.01655774059850441,0.031233248505629113,0.029307636102067523,0.045792274454016124
0,0.0,6,312953.69555488747,315993.916040114,2192.0380494036363,0.0,0.006540666106007605,0.01897071016430378,0.18474676368887014,0.1810262128948443,0.18910291432485865
1,0.0,6,311189.74439604155,317938.6048175972,1922.562329946959,0.0,0.007935051083950387,0.03533742539066472,0.03604173205319477,0.044838569725192005,0.058785643982987294
2,0.0,6,300448.3530351643,320329.2593976627,2541.573736948776,0.0,0.0036689235829838107,0.015144326749065032,0.03294345722248719,0.03661027979901546,0.04715456970020937
3,0.0,6,348345.5543751542,321777.05035269156,1258.4300824315287,0.0,0.008280528262936845,0.012806691789407394,0.03349252877027227,0.03493857403367561,0.042868302076989474
4,0.0,6,331453.1123986665,322786.258651837,995.4964829834644,0.0,0.0033557451133258004,0.015589583973426094,0.030238558592908648,0.03558521942255613,0.04711725651574079
5,0.0,6,303304.64891583566,324254.4468825046,1695.4938405147404,0.0,0.011217286526531962,0.015013654306589746,0.025679546876821228,0.024044442852562086,0.03449709560131696
6,0.0,6,346604.5019649599,325243.4021725219,963.1195852331584,0.0,0.003894879656898863,0.0063622712902267585,0.02656475090023557,0.025953099365000263,0.03636899315446914
7,0.0,6,328761.3580853835,326603.44934004376,1265.594777684135,0.0,0.003240916172580021,0.03546835018756879,0.02868291340354027,0.04024927182746566,0.05026149507291523
8,0.0,6,328819.09963183687,327798.8973993494,1269.862570390338,0.0,0.004420279001271042,0.011841952737068985,0.026843290301563377,0.025103161891915762,0.0423450230966365
9,0.0,6,322302.5620193437,330095.74569595204,2290.2326457564486,0.0,0.00945788296658329,0.03859503588394372,0.025274177790366052,0.040071753409959054,0.04891426064042751
10,0.0,6,333356.6878438659,331763.08685872814,1657.946312955406,0.0,0.004299525777061603,0.016245750202812912,0.021689675073493963,0.021238839250253706,0.032244224368367456
11,0.0,6,344063.5473109648,333549.566039783,1770.175831859582,0.0,0.007333205205350533,0.022054058056034644,0.02185877205819434,0.025464550400052938,0.037603713002534234
12,0.0,6,332172.0757047181,334427.74022832455,970.2166639240459,0.0,0.008404003139679164,0.014821969211402887,0.023325935472088607,0.02435203993739244,0.03279822273876484
13,0.0,6,355739.21318917576,335499.6137791506,914.3944298885763,0.0,0.0033390464176320093,0.02059997351796943,0.026121505886611645,0.026397969395035033,0.05029263351779985
14,0.0,6,332823.4504161142,336776.605508769,1266.296212942456,0.0,0.0025454021062010566,0.010071752059013998,0.018119909311912537,0.02419526074440392,0.03644349854408826
15,0.0,6,351913.967924395,338746.8108522959,1945.023858672881,0.0,0.0045308083513375995,0.02594904104991077,0.024413712224988074,0.035071586693840404,0.050881264775915695
16,0.0,6,341713.3048214735,339715.268624847,1080.250908153248,0.0,0.0026162355884003716,0.011012689000638405,0.030193366154938787,0.028581882588569703,0.03899174217466145
17,0.0,6,353368.35898362554,340816.71938625484,1179.444537963078,0.0,0.0057286264074206325,0.01272359538505786,0.020791825902834675,0.024453548184870735,0.0340068044627276
