mu,target,target_role,channel,predictor,n_steps,pearson,spearman,slope
0.2,mean_abs_delta_loss,loss_motion,blind,fr_step_blind,190,0.8870690450806267,0.5722744907644329,1277198.064595018
0.2,mean_abs_delta_loss,loss_motion,coarse,fr_step_coarse,190,0.9152473645595498,0.5602706591959831,131600.17400490306
0.2,mean_abs_delta_loss,loss_motion,task,fr_step_task,190,0.8410581237588155,0.4970882704142556,125451.03837804253
0.2,mean_abs_delta_loss,loss_motion,task_no_cost,fr_step_task_no_cost,190,0.8365395869326062,0.4780738932846952,117635.0464409738
0.2,mean_abs_delta_loss,loss_motion,task_no_group,fr_step_task_no_group,190,0.8453142489151751,0.5170071776299389,124533.2538930255
0.2,mean_abs_delta_loss,loss_motion,task_no_qty,fr_step_task_no_qty,190,0.9051302664536535,0.672855786936801,135407.56635510348
all_positive,v_t,within_step_risk_shift,blind,fr_step_blind,570,0.4160607346512704,0.4619578780838937,518899.57065076614
all_positive,v_t,within_step_risk_shift,coarse,fr_step_coarse,570,0.276164643587487,0.16191496596270163,37812.56321810821
all_positive,v_t,within_step_risk_shift,task,fr_step_task,570,0.4515189741945143,0.5727346522749338,52997.14199762784
all_positive,v_t,within_step_risk_shift,task_no_cost,fr_step_task_no_cost,570,0.434538190077275,0.5693517062225492,47059.827270484006
all_positive,v_t,within_step_risk_shift,task_no_group,fr_step_task_no_group,570,0.44669071809793726,0.5778630476418501,51277.32581668027
all_positive,v_t,within_step_risk_shift,task_no_qty,fr_step_task_no_qty,570,0.3459315442912877,0.3044583085820517,49172.33879692005
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,blind,fr_step_blind,570,0.39949338615413715,0.4067462908716085,516353.39544169646
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,coarse,fr_step_coarse,570,0.273728562249952,0.12913379882752227,38841.770829767294
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,task,fr_step_task,570,0.4425979702639684,0.5301088710807457,53838.96793417453
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_cost,fr_step_task_no_cost,570,0.42743494138202515,0.5213356831054056,47973.70528398977
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_group,fr_step_task_no_group,570,0.439572018983156,0.533685691148391,52294.90074884074
all_positive,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_qty,fr_step_task_no_qty,570,0.3364510792718428,0.26087073861496396,49563.67369656233
all_positive,mean_abs_delta_y,target_motion,blind,fr_step_blind,570,0.8092003862568342,0.7643912982836286,8561.808165363864
all_positive,mean_abs_delta_y,target_motion,coarse,fr_step_coarse,570,0.626617815692196,0.4437083848405683,727.8696510402777
all_positive,mean_abs_delta_y,target_motion,task,fr_step_task,570,0.7602082269941274,0.8316967491597795,756.9929613308527
all_positive,mean_abs_delta_y,target_motion,task_no_cost,fr_step_task_no_cost,570,0.7541523308437308,0.8364995372651033,692.8899896645573
all_positive,mean_abs_delta_y,target_motion,task_no_group,fr_step_task_no_group,570,0.7550940568752675,0.8299161796192212,735.3639298298228
all_positive,mean_abs_delta_y,target_motion,task_no_qty,fr_step_task_no_qty,570,0.6635669491257078,0.5122444043744121,800.199504138422
all_positive,mean_abs_delta_pred,prediction_motion,blind,fr_step_blind,570,0.672897469529021,0.742705271484369,5734.2886537619115
all_positive,mean_abs_delta_pred,prediction_motion,coarse,fr_step_coarse,570,0.44041223137816654,0.41365506138668845,412.03251517154206
all_positive,mean_abs_delta_pred,prediction_motion,task,fr_step_task,570,0.6360337441728683,0.8138635148315729,510.10628871214385
all_positive,mean_abs_delta_pred,prediction_motion,task_no_cost,fr_step_task_no_cost,570,0.628775678582235,0.8128065385825977,465.288360119507
